,text_id,term_id,text,term,polarity,polarity_pred,prompt_name,prompt,example1_term_id,example1_prompt,example1_sim_score,example2_term_id,example2_prompt,example2_sim_score,example3_term_id,example3_prompt,example3_sim_score
0,0,0,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",desserts,positive,positive,prompt_single_term_fewshot,"Example 1:
Input: ""We sat at the bar and were constantly bumped by the waitress flying past; had fabulously fresh raw oysters with pieces of shell in every bite; lobsters rolls were tasty but the large pieces of meat were tough; the apple crumble was excellent but the ice cream was over-frozen and the stench of frying oil was nearly unbearable.""
Term: ""bar""
Output: ""neutral""


Example 2:
Input: ""From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.""
Term: ""beginning appetizers""
Output: ""neutral""


Example 3
Input: ""I was surprised by the small ice cream dessert from the restaurant to the birthday girl free of charge, but if they're going to give a nice service the one ice cream scoop on a stick didn't leave a strong enough impression.""
Term: ""ice cream dessert""
Output: ""positive""

    
Task:
Input: Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.
Prompt: What is the sentiment in the text towards 'desserts'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",102,"Input: ""We sat at the bar and were constantly bumped by the waitress flying past; had fabulously fresh raw oysters with pieces of shell in every bite; lobsters rolls were tasty but the large pieces of meat were tough; the apple crumble was excellent but the ice cream was over-frozen and the stench of frying oil was nearly unbearable.""
Term: ""bar""
Output: ""neutral""
",0.15532603746123447,300,"Input: ""From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.""
Term: ""beginning appetizers""
Output: ""neutral""
",0.19044475463050206,327,"Input: ""I was surprised by the small ice cream dessert from the restaurant to the birthday girl free of charge, but if they're going to give a nice service the one ice cream scoop on a stick didn't leave a strong enough impression.""
Term: ""ice cream dessert""
Output: ""positive""
",0.327304937648553
1,0,1,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",dulce de leche ice-cream,neutral,positive,prompt_single_term_fewshot,"Example 1:
Input: ""We sat at the bar and were constantly bumped by the waitress flying past; had fabulously fresh raw oysters with pieces of shell in every bite; lobsters rolls were tasty but the large pieces of meat were tough; the apple crumble was excellent but the ice cream was over-frozen and the stench of frying oil was nearly unbearable.""
Term: ""bar""
Output: ""neutral""


Example 2:
Input: ""From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.""
Term: ""beginning appetizers""
Output: ""neutral""


Example 3
Input: ""I was surprised by the small ice cream dessert from the restaurant to the birthday girl free of charge, but if they're going to give a nice service the one ice cream scoop on a stick didn't leave a strong enough impression.""
Term: ""ice cream dessert""
Output: ""positive""

    
Task:
Input: Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.
Prompt: What is the sentiment in the text towards 'dulce de leche ice-cream'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",102,"Input: ""We sat at the bar and were constantly bumped by the waitress flying past; had fabulously fresh raw oysters with pieces of shell in every bite; lobsters rolls were tasty but the large pieces of meat were tough; the apple crumble was excellent but the ice cream was over-frozen and the stench of frying oil was nearly unbearable.""
Term: ""bar""
Output: ""neutral""
",0.15532603746123447,300,"Input: ""From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.""
Term: ""beginning appetizers""
Output: ""neutral""
",0.19044475463050206,327,"Input: ""I was surprised by the small ice cream dessert from the restaurant to the birthday girl free of charge, but if they're going to give a nice service the one ice cream scoop on a stick didn't leave a strong enough impression.""
Term: ""ice cream dessert""
Output: ""positive""
",0.327304937648553
2,0,2,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",chocolate sauce tic-tac-toe,neutral,positive,prompt_single_term_fewshot,"Example 1:
Input: ""We sat at the bar and were constantly bumped by the waitress flying past; had fabulously fresh raw oysters with pieces of shell in every bite; lobsters rolls were tasty but the large pieces of meat were tough; the apple crumble was excellent but the ice cream was over-frozen and the stench of frying oil was nearly unbearable.""
Term: ""bar""
Output: ""neutral""


Example 2:
Input: ""From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.""
Term: ""beginning appetizers""
Output: ""neutral""


Example 3
Input: ""I was surprised by the small ice cream dessert from the restaurant to the birthday girl free of charge, but if they're going to give a nice service the one ice cream scoop on a stick didn't leave a strong enough impression.""
Term: ""ice cream dessert""
Output: ""positive""

    
Task:
Input: Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.
Prompt: What is the sentiment in the text towards 'chocolate sauce tic-tac-toe'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",102,"Input: ""We sat at the bar and were constantly bumped by the waitress flying past; had fabulously fresh raw oysters with pieces of shell in every bite; lobsters rolls were tasty but the large pieces of meat were tough; the apple crumble was excellent but the ice cream was over-frozen and the stench of frying oil was nearly unbearable.""
Term: ""bar""
Output: ""neutral""
",0.15532603746123447,300,"Input: ""From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.""
Term: ""beginning appetizers""
Output: ""neutral""
",0.19044475463050206,327,"Input: ""I was surprised by the small ice cream dessert from the restaurant to the birthday girl free of charge, but if they're going to give a nice service the one ice cream scoop on a stick didn't leave a strong enough impression.""
Term: ""ice cream dessert""
Output: ""positive""
",0.327304937648553
3,0,3,"Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.",poached pineapple,neutral,positive,prompt_single_term_fewshot,"Example 1:
Input: ""We sat at the bar and were constantly bumped by the waitress flying past; had fabulously fresh raw oysters with pieces of shell in every bite; lobsters rolls were tasty but the large pieces of meat were tough; the apple crumble was excellent but the ice cream was over-frozen and the stench of frying oil was nearly unbearable.""
Term: ""bar""
Output: ""neutral""


Example 2:
Input: ""From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.""
Term: ""beginning appetizers""
Output: ""neutral""


Example 3
Input: ""I was surprised by the small ice cream dessert from the restaurant to the birthday girl free of charge, but if they're going to give a nice service the one ice cream scoop on a stick didn't leave a strong enough impression.""
Term: ""ice cream dessert""
Output: ""positive""

    
Task:
Input: Amusing details distinguish desserts, from dulce de leche ice-cream profiteroles dotting a chocolate sauce tic-tac-toe board, to coconut custard surrounded by a sea of Malibu-rum gelee and poached pineapple.
Prompt: What is the sentiment in the text towards 'poached pineapple'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",102,"Input: ""We sat at the bar and were constantly bumped by the waitress flying past; had fabulously fresh raw oysters with pieces of shell in every bite; lobsters rolls were tasty but the large pieces of meat were tough; the apple crumble was excellent but the ice cream was over-frozen and the stench of frying oil was nearly unbearable.""
Term: ""bar""
Output: ""neutral""
",0.15532603746123447,300,"Input: ""From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.""
Term: ""beginning appetizers""
Output: ""neutral""
",0.19044475463050206,327,"Input: ""I was surprised by the small ice cream dessert from the restaurant to the birthday girl free of charge, but if they're going to give a nice service the one ice cream scoop on a stick didn't leave a strong enough impression.""
Term: ""ice cream dessert""
Output: ""positive""
",0.327304937648553
4,1,4,The server was so busy the night we visited that she forgot to put in our food order.,server,negative,negative,prompt_single_term_fewshot,"Example 1:
Input: ""After being seated took our waiter 10 mintues to get us a menu, 15 minutes to come back for our order, by the time we finally got our food it was almost 1 1/2 hour since getting there.""
Term: ""waiter""
Output: ""negative""


Example 2:
Input: ""Not including the tip for our server, who we saw twice in an hour?""
Term: ""tip""
Output: ""neutral""


Example 3
Input: ""Our waitress did not take our drink order until I finally flagged her down and even then she seemed disinterested in our meal.""
Term: ""waitress""
Output: ""negative""

    
Task:
Input: The server was so busy the night we visited that she forgot to put in our food order.
Prompt: What is the sentiment in the text towards 'server'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",13,"Input: ""After being seated took our waiter 10 mintues to get us a menu, 15 minutes to come back for our order, by the time we finally got our food it was almost 1 1/2 hour since getting there.""
Term: ""waiter""
Output: ""negative""
",0.2004303848339657,123,"Input: ""Not including the tip for our server, who we saw twice in an hour?""
Term: ""tip""
Output: ""neutral""
",0.21687989170669345,252,"Input: ""Our waitress did not take our drink order until I finally flagged her down and even then she seemed disinterested in our meal.""
Term: ""waitress""
Output: ""negative""
",0.23456275178756922
5,1,5,The server was so busy the night we visited that she forgot to put in our food order.,food,neutral,neutral,prompt_single_term_fewshot,"Example 1:
Input: ""After being seated took our waiter 10 mintues to get us a menu, 15 minutes to come back for our order, by the time we finally got our food it was almost 1 1/2 hour since getting there.""
Term: ""waiter""
Output: ""negative""


Example 2:
Input: ""Not including the tip for our server, who we saw twice in an hour?""
Term: ""tip""
Output: ""neutral""


Example 3
Input: ""Our waitress did not take our drink order until I finally flagged her down and even then she seemed disinterested in our meal.""
Term: ""waitress""
Output: ""negative""

    
Task:
Input: The server was so busy the night we visited that she forgot to put in our food order.
Prompt: What is the sentiment in the text towards 'food'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",13,"Input: ""After being seated took our waiter 10 mintues to get us a menu, 15 minutes to come back for our order, by the time we finally got our food it was almost 1 1/2 hour since getting there.""
Term: ""waiter""
Output: ""negative""
",0.2004303848339657,123,"Input: ""Not including the tip for our server, who we saw twice in an hour?""
Term: ""tip""
Output: ""neutral""
",0.21687989170669345,252,"Input: ""Our waitress did not take our drink order until I finally flagged her down and even then she seemed disinterested in our meal.""
Term: ""waitress""
Output: ""negative""
",0.23456275178756922
6,2,6,"2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.",dinner,neutral,positive,prompt_single_term_fewshot,"Example 1:
Input: ""We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.""
Term: ""brunch""
Output: ""neutral""


Example 2:
Input: ""Miyagi is my sushi restaurant of choice in the Village; it's never insanely crowded, the service is very sweet (I've never experienced any of the nastiness described in prior reviews), and the tabs are small.""
Term: ""service""
Output: ""positive""


Example 3
Input: ""I couple of weeks ago we went to Supper in the east village and it was so bad that we got up and left and the only way to save the evening of horrible food was to go to Blue Ribbon Bakery and have at least one thing off the menu.""
Term: ""food""
Output: ""negative""

    
Task:
Input: 2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.
Prompt: What is the sentiment in the text towards 'dinner'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",310,"Input: ""We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.""
Term: ""brunch""
Output: ""neutral""
",0.17074552188649245,320,"Input: ""Miyagi is my sushi restaurant of choice in the Village; it's never insanely crowded, the service is very sweet (I've never experienced any of the nastiness described in prior reviews), and the tabs are small.""
Term: ""service""
Output: ""positive""
",0.20863068012925529,322,"Input: ""I couple of weeks ago we went to Supper in the east village and it was so bad that we got up and left and the only way to save the evening of horrible food was to go to Blue Ribbon Bakery and have at least one thing off the menu.""
Term: ""food""
Output: ""negative""
",0.25905990546364965
7,2,7,"2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.",scene,positive,positive,prompt_single_term_fewshot,"Example 1:
Input: ""We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.""
Term: ""brunch""
Output: ""neutral""


Example 2:
Input: ""Miyagi is my sushi restaurant of choice in the Village; it's never insanely crowded, the service is very sweet (I've never experienced any of the nastiness described in prior reviews), and the tabs are small.""
Term: ""service""
Output: ""positive""


Example 3
Input: ""I couple of weeks ago we went to Supper in the east village and it was so bad that we got up and left and the only way to save the evening of horrible food was to go to Blue Ribbon Bakery and have at least one thing off the menu.""
Term: ""food""
Output: ""negative""

    
Task:
Input: 2 weeks ago, I decided to set up a birthday dinner in this establishment and was wary with the reviews I've read in City Search but it seems to be a perfect scene.
Prompt: What is the sentiment in the text towards 'scene'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",310,"Input: ""We recently had brunch at this establishment with two other couples and I have to say I was majorly dissapointed with the service and how we were treated.""
Term: ""brunch""
Output: ""neutral""
",0.17074552188649245,320,"Input: ""Miyagi is my sushi restaurant of choice in the Village; it's never insanely crowded, the service is very sweet (I've never experienced any of the nastiness described in prior reviews), and the tabs are small.""
Term: ""service""
Output: ""positive""
",0.20863068012925529,322,"Input: ""I couple of weeks ago we went to Supper in the east village and it was so bad that we got up and left and the only way to save the evening of horrible food was to go to Blue Ribbon Bakery and have at least one thing off the menu.""
Term: ""food""
Output: ""negative""
",0.25905990546364965
8,3,8,My boyfriend and I went one Friday night to find that the place was empty except for one other table.,place,negative,neutral,prompt_single_term_fewshot,"Example 1:
Input: ""If you don't want to wait 45 minutes for a table or a long time for service then don't go @ 9pm on a Friday or Saturday night.""
Term: ""table""
Output: ""neutral""


Example 2:
Input: ""Went here with my husband on a Saturday night for dinner since the place looked like it had great atmosphere.""
Term: ""dinner""
Output: ""neutral""


Example 3
Input: ""When we went to dinner here, the place was empty, which should have been a clue.""
Term: ""dinner""
Output: ""neutral""

    
Task:
Input: My boyfriend and I went one Friday night to find that the place was empty except for one other table.
Prompt: What is the sentiment in the text towards 'place'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",276,"Input: ""If you don't want to wait 45 minutes for a table or a long time for service then don't go @ 9pm on a Friday or Saturday night.""
Term: ""table""
Output: ""neutral""
",0.19689426403661314,188,"Input: ""Went here with my husband on a Saturday night for dinner since the place looked like it had great atmosphere.""
Term: ""dinner""
Output: ""neutral""
",0.23095160385920688,47,"Input: ""When we went to dinner here, the place was empty, which should have been a clue.""
Term: ""dinner""
Output: ""neutral""
",0.2928835409697844
9,3,9,My boyfriend and I went one Friday night to find that the place was empty except for one other table.,table,neutral,neutral,prompt_single_term_fewshot,"Example 1:
Input: ""If you don't want to wait 45 minutes for a table or a long time for service then don't go @ 9pm on a Friday or Saturday night.""
Term: ""table""
Output: ""neutral""


Example 2:
Input: ""Went here with my husband on a Saturday night for dinner since the place looked like it had great atmosphere.""
Term: ""dinner""
Output: ""neutral""


Example 3
Input: ""When we went to dinner here, the place was empty, which should have been a clue.""
Term: ""dinner""
Output: ""neutral""

    
Task:
Input: My boyfriend and I went one Friday night to find that the place was empty except for one other table.
Prompt: What is the sentiment in the text towards 'table'? Only respond with ""positive"", ""negative"" or ""neutral"" as one word.",276,"Input: ""If you don't want to wait 45 minutes for a table or a long time for service then don't go @ 9pm on a Friday or Saturday night.""
Term: ""table""
Output: ""neutral""
",0.19689426403661314,188,"Input: ""Went here with my husband on a Saturday night for dinner since the place looked like it had great atmosphere.""
Term: ""dinner""
Output: ""neutral""
",0.23095160385920688,47,"Input: ""When we went to dinner here, the place was empty, which should have been a clue.""
Term: ""dinner""
Output: ""neutral""
",0.2928835409697844
